,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
CALCIUM-GLUCONATE_BITZUA__mean,0.019461516,0.049026385,0.00090895785,0.07987508,0.027295467,0.039308924,0.021471666,0.078342915
CARDIO-VASCULAR_DISORDER_EVENT__mean,-0.0069285613,0.010173937,-0.019417504,0.020602755,0.019696752,-0.0081687765,0.014749591,-0.012906462
CARDIOVASCULAR_DISORDER_OBS__mean,0.018683707,-0.022687195,-0.0026831632,0.020062992,0.022285733,-0.012203056,-0.0048145386,0.012510274
CHEST_XRAY__mean,-0.019961609,-0.008438915,-0.009783732,0.014704305,-0.013846345,0.020563427,-0.01387859,-0.025190018
CREATINE-KINASE_MEASURE__mean,-0.0075050727,0.02346593,0.030016612,-0.04301425,-0.055150542,0.008915259,0.033461865,-0.0138210775
CREATININE_SERUM_MEASURE__mean,0.022292184,-0.028087173,-0.0040002433,0.008998239,-0.045381475,0.080929525,0.020016234,-0.00084526313
DEXTROSE_BITZUA__mean,-0.04015294,-0.050086528,-0.018778456,0.033839934,0.09176802,-0.031322345,-0.00077317253,0.043916278
DIABETES_DIAGNOSIS__mean,-0.0024556585,0.008523826,0.023179153,0.013039731,0.023417555,-0.01644686,0.0038940588,0.019433357
DIALYSIS__mean,-0.017259017,0.015127437,-0.02417118,-0.005574773,0.0205882,0.009463226,0.021811355,-0.0038697494
E-GFR_MEASURE__mean,-0.015311031,-0.00043060115,-0.0036940398,0.003677024,-0.02157821,0.011906393,-0.008048575,-0.0013429027
EGFR_MEASURE__mean,0.027107434,0.05742331,-0.020792365,-0.028537365,-0.03160336,-0.024674198,-0.021647668,-0.020129995
GLUCOSE_MEASURE__mean,-0.014104265,-0.15253483,-0.021191958,0.04767678,0.28707054,-0.009844971,0.057055965,0.037456255
HEART_RATE_MEASURE__mean,0.050036453,0.02312572,0.02044061,-0.06475133,0.05735938,0.025247764,0.046302162,-0.09569341
HEMATOCRIT_MEASURE__mean,-0.011918506,0.04056094,-0.0019118859,-0.013305097,0.084594145,0.013596876,-0.0047982074,0.0002631366
HEMOGLOBIN_MEASURE__mean,-0.015975403,-0.024922194,-0.02230523,-0.03982665,0.09803748,-0.028888494,-0.022814684,-0.016334433
HEPARIN_IV_BITZUA__mean,0.019766338,0.00973666,-0.000219372,0.01489629,-0.030966723,0.014219235,-0.032042008,0.06786881
HYPERGLYCEMIA_EVENT__mean,0.015428574,-0.0015215176,-0.019674044,-0.008024253,-0.006416127,0.006109805,0.02021449,-0.0035850818
HYPERTONIC_SALINE_BITZUA__mean,0.048632342,0.017216269,-0.006592177,0.0047128964,0.023882637,0.1723054,-0.0038434486,0.02494826
HYPOGLYCEMIA_EVENT__mean,0.018706268,0.02304836,0.021053907,-0.01452575,-0.0139049925,0.01716366,0.003713099,-0.024461402
INFECTION_EVENT__mean,0.024503324,0.011073456,0.011719272,0.016495163,0.016742958,-0.021165142,-0.013399976,-0.020700973
INFECTION_WBC_MEASURE__mean,0.013125105,-0.0005562598,-0.0022463794,0.0046507395,-0.1034233,-0.012964751,-0.019936536,-0.07045539
KETONES_SERUM_MEASURE__mean,-0.01269577,-0.018899063,0.0040308516,0.006048051,0.02581926,0.02191835,0.020866841,-0.008024948
KETONES_URINE_MEASURE__mean,0.009803187,-0.0077033127,-0.0036912567,0.03450294,0.0028192622,0.0053762067,0.0069546592,0.004650935
KIDNEY_COMPLICATION_EVENT__mean,-0.01757336,0.019402655,0.008173606,-0.016280072,-0.010652384,6.037379e-05,0.003101784,-0.009465707
KIDNEY_COMPLICATION_OBS__mean,-0.02515916,-0.011194413,0.0069721714,0.015269815,-0.0016953287,0.01789096,-0.023191422,0.0021583424
MEAL_Breakfast__mean,-0.0010335372,0.005965111,0.02021395,-0.013025515,0.005182435,0.014956527,0.0030699354,0.025261503
MEAL_Dinner__mean,-0.011233278,0.013454415,-0.023826646,-0.010617288,0.024883913,-0.016392754,-0.017409854,0.008417544
MEAL_Lunch__mean,0.022137742,0.021944916,0.008791709,-0.007922883,0.0070876754,0.024645073,-0.017416898,-0.015170089
MEAL_Night-Snack__mean,-0.016763195,0.016305849,-0.019728333,0.002959132,-0.0062758545,0.013896435,-0.006526094,-0.010643786
METFORMIN_HOME_BITZUA__mean,0.015875285,-0.0034081836,0.004452332,-0.009220423,0.016280016,0.00047404814,0.0017243812,-0.008483267
