,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
CARDIOVASCULAR_DISORDER_OBS__mean,0.018769082,-0.0066107465,-0.0019566552,-0.005429667,0.017649982,-0.00012684052,0.0061403383,0.022717401
CHEST_XRAY__mean,-0.020052614,-0.0009345221,0.013128458,-0.012638965,-0.010202244,0.006785593,0.00052701554,0.0163155
CREATINE-KINASE_MEASURE__mean,-0.006657709,0.04131211,0.02321696,-0.056549832,-0.056185983,-0.0049215,0.02086483,-0.0059129694
CREATININE_SERUM_MEASURE__mean,0.020203602,-0.021132302,0.032278806,-0.020493556,-0.012693641,0.058446627,0.011291058,0.0085526
DEXTROSE_BITZUA__mean,-0.0378056,-0.072045214,-0.021919949,0.044252012,0.0861104,-0.03660556,-0.002683447,0.055019375
DIABETES_DIAGNOSIS__mean,-0.0024668921,-0.0067856265,0.012652165,-0.024919307,0.023980042,0.015855879,-0.019770386,-0.011847104
DIALYSIS__mean,-0.017337963,0.021803495,-0.006412475,0.015744472,0.018581074,0.014488194,0.019105852,-0.0014153405
E-GFR_MEASURE__mean,-0.013831844,0.002563489,-0.01652708,0.013080826,-0.023583816,0.011977791,-0.016432507,-0.02000467
EGFR_MEASURE__mean,0.02598811,0.055916943,-0.020523224,-0.020566871,-0.0076275733,-0.02047374,-0.018687155,-0.0048810975
GLUCOSE_MEASURE__mean,-0.020349745,-0.15277477,-0.0018865507,0.05263257,0.20940639,-0.015256369,0.07038256,0.061377995
HEART_RATE_MEASURE__mean,0.045649957,0.0019922578,0.01609403,-0.06366608,0.022330306,0.022260107,0.0474039,-0.07012295
HEMATOCRIT_MEASURE__mean,-0.007472602,0.050297275,0.019764991,-0.02239206,0.07911721,0.014443651,-0.017617391,0.0017820557
HEMOGLOBIN_MEASURE__mean,-0.016665034,0.013586598,-0.015836434,-0.016935626,0.098194435,0.006746149,-0.023968205,-0.042404737
HEPARIN_IV_BITZUA__mean,0.01568708,-0.0166576,-0.008325674,0.013245844,-0.09072721,0.014827475,-0.0014674988,0.06112742
HYPERGLYCEMIA_EVENT__mean,0.015498998,-0.0084775165,-0.004766573,-0.022040807,-0.024937997,-0.02383168,-0.0028127606,0.009534969
HYPERTONIC_SALINE_BITZUA__mean,0.035311047,0.007991277,0.0073223207,0.010946542,0.01901098,0.08674759,0.008816146,-0.010275802
HYPOGLYCEMIA_EVENT__mean,0.018791845,0.0013990378,0.008730293,0.0013115271,0.016594617,0.0042930697,-0.003896039,0.013077241
INFECTION_EVENT__mean,0.024615357,-0.018104494,0.007147041,-0.025451764,0.0056985887,0.018267987,-0.02470843,-0.007775389
INFECTION_WBC_MEASURE__mean,0.015631022,-0.021280713,0.0038530577,-0.01572534,-0.092074774,-0.023459421,0.020963585,-0.057851944
KETONES_SERUM_MEASURE__mean,-0.0126234,0.028566731,0.017577797,0.007586203,0.01356185,-0.013544688,0.012638317,-0.01724496
KETONES_URINE_MEASURE__mean,0.009124373,0.013093768,-0.010640964,0.0030001155,-0.023369491,-0.0048133507,-0.015821893,0.026481314
KIDNEY_COMPLICATION_EVENT__mean,-0.01765371,-0.0063511906,-0.024131805,0.010763532,-0.006273678,-0.0024611983,-0.00028981696,0.022238737
KIDNEY_COMPLICATION_OBS__mean,-0.02527393,0.0026415419,-0.00050905277,0.002263137,0.0049367077,0.020992076,0.019721415,-0.0060248715
MEAL_Breakfast__mean,-0.0010382645,-0.005237635,0.020745082,-0.015069615,0.020652117,-0.02278335,0.0060234633,0.007216685
MEAL_Dinner__mean,-0.011284646,-0.0094378935,-0.0073772385,0.012219431,-0.023673235,-0.017393224,0.0090672625,-0.014970808
MEAL_Lunch__mean,0.022238707,-0.018611934,-0.019506142,0.007766112,-0.0037088755,-0.001372573,-0.022527894,0.008182777
MEAL_Night-Snack__mean,-0.016839573,0.0030145033,-0.0026954177,-0.02219653,0.024376819,-0.024411205,-0.019123867,0.003212735
METFORMIN_HOME_BITZUA__mean,0.014922945,0.0012898397,-0.010172709,-0.011599073,0.017847273,-0.00979637,-0.0013123744,0.010508333
METFORMIN_HOSPITAL_BITZUA__mean,-0.008029869,0.026526092,0.003549905,-0.005647057,0.017024333,-0.019638581,0.0116324825,-0.0009936728
NEUTROPHILS_MEASURE__mean,-0.037187736,0.028125377,-0.0014373506,-6.778536e-05,0.043342516,0.012320249,-0.0049960692,0.035639722
PH_MEASURE__mean,0.007963831,0.007986584,0.02785705,-0.050206672,0.01803913,-0.0071743513,-0.010334916,-0.02859604
PLT_MEASURE__mean,0.021791298,0.084846,0.059891507,0.06685873,0.015205399,0.0059792716,0.001389014,0.05563785
POTASSIUM_MEASURE__mean,0.0128295,-0.058308538,-0.005998888,-0.049412597,-0.061010823,0.0027727096,0.0114229545,-0.043852102
SEVERE_HYPERGLYCEMIA_EVENT__mean,-0.0036095988,0.018018907,0.0061113555,-0.01658154,-0.024663396,0.0016119715,0.012384247,-0.010732755
SEVERE_HYPOGLYCEMIA_EVENT__mean,0.025115518,0.019491093,-0.014065673,-0.0025724547,0.015104687,0.009048054,-0.005884565,-0.012203403
SGLT2_HOME_BITZUA__mean,0.010645274,-0.0205442,-0.005831584,0.0077286204,-0.019609703,0.002729616,-0.009727123,-0.014818075
SGLT2_HOSPITAL_BITZUA__mean,-0.02346061,0.0021696682,0.0038905228,0.028006358,-0.0025152976,-0.018700862,-0.02095238,0.007806715
SODIUM_MEASURE__mean,0.024405569,0.033795062,-0.01397333,0.009188042,-0.022478083,-0.0042865947,-0.005440108,0.002097154
